#separator:tab
#html:false
#notetype:Levantine Vocab
#deck:Levantine Arabic::Lesson Notes
#tags column:7
#columns:Arabic	Transliteration	English	Notes	Example (Arabic)	Example (English)	Tags
مرحبا	marhaba	hello	the standard opener	مرحبا، كيفك؟	Hello, how are you?	greetings
أهلين	ahleen	hello (reply)	first response to مرحبا	أهلين، أنا منيح	Hello, I'm fine.	greetings
هلا	hala	hello (reply)	second response to مرحبا	هلا!	Hello!	greetings
مرحبتين	marhabteen	hello (reply)	third response to مرحبا, literally two hellos	مرحبتين	Hello (to your hello).	greetings
شو اسمَك	shu esmak	what is your name (m)	f. شو اسمِك	شو اسمَك؟	What is your name?	greetings
اسمي	esmi	my name is		اسمي جوليان	My name is Julian.	greetings
كيف حالَك	kiif haalak	how are you (m, formal)	f. كيف حالِك	كيف حالَك؟	How are you?	greetings
كيفَك	kiifak	how are you (m, casual)	f. كيفِك	كيفَك؟	How are you?	greetings
منيح	mniih	fine / good	f. منيحة، used of people	أنا منيح، شكراً	I'm fine, thank you.	greetings
شو أخبارَك	shu akhbaarak	what's up (m)	f. شو أخبارِك	شو أخبارَك؟	What's up?	greetings
الأخبار منيحة	el-akhbaar mniiha	the news is good	answer to شو أخبارك; also الأخبار كويسة	الأخبار منيحة	Things are good.	greetings
كل شي تمام	kell shi tamaam	everything is good	very common all-purpose answer	كل شي تمام	Everything's good.	greetings
انت من وين	enta min ween	where are you from (m)	f. انتي من وين	انت من وين؟	Where are you from?	greetings
أنا من	ana min	I am from		أنا من كولومبيا	I am from Colombia.	greetings
وين ساكن	ween saaken	where do you live (m)	f. وين ساكنة	وين ساكن؟	Where do you live?	greetings
ساكن	saaken	living / residing	active participle; f. ساكنة	أنا ساكنة ببرلين	I (f) live in Berlin.	greetings
تشرّفنا	tsharrafna	nice to meet you	said on being introduced	تشرّفنا	Nice to meet you.	greetings
فرصة سعيدة	fersa sa'iide	nice to meet you	slightly more formal alternative	فرصة سعيدة	Pleased to meet you.	greetings
أهلا وسهلا	ahla w sahla	welcome	also used by a host or waiter	أهلا وسهلا، تفضّلوا	Welcome, come in.	greetings
سلام	salaam	goodbye		يلّا سلام	Ok, bye.	greetings
مع السلامة	ma' es-salaame	goodbye (reply)	said to the person leaving	مع السلامة، الله معكن	Goodbye, God be with you.	greetings
الله معك	allah ma'ak	God be with you (m)	farewell	الله معكن	God be with you (pl).	greetings
صباح الخير	sabaah el-kheer	good morning	reply: صباح النور	صباح الخير	Good morning.	greetings
مسا الخير	masa el-kheer	good evening	reply: مسا النور	مسا الخير	Good evening.	greetings
ايه	eh	yes		ايه، أنا أمريكي	Yes, I'm American.	basics
لا	la	no		لا، أنا فرنسي	No, I'm French.	basics
