#separator:tab
#html:false
#notetype:Levantine Vocab
#deck:Levantine Arabic::Part 1 Vocab
#tags column:7
#columns:Arabic	Transliteration	English	Notes	Example (Arabic)	Example (English)	Tags
بيت	beet	house	masculine	بيتي كْبير	My house is big.	P1L1 nouns masculine
كْتاب	ktaab	book	masculine	عِنْدي كْتاب جْديد	I have a new book.	P1L1 nouns masculine
باب	baab	door	masculine	بابَك قَديم	Your (m) door is old.	P1L1 nouns masculine
قَلَم	'alam	pen	masculine	مَعَك قَلَم؟	Do you (m) have a pen?	P1L1 nouns masculine
طالِب	taaleb	student (m)	masculine	طالِبْنا طَويل	Our student is tall.	P1L1 nouns masculine
دَفْتَر	dafter	notebook	masculine	دَفْتَري صْغير	My notebook is small.	P1L1 nouns masculine
باص	baas	bus	masculine	باصْها بْعيد	Her bus is far.	P1L1 nouns masculine
شُغْل	shughl	work / job	masculine	شُغِلْنا بْعيد	Our work is far.	P1L1 nouns masculine
طاوْلِة	taawle	table	feminine (ends in ة)	طاوِلْتي كْبيرَة	My table is big.	P1L1 nouns feminine
سَيَّارَة	sayyaara	car	feminine; with possessive ة becomes ت (سيارتي)	سَيّارْتَك رْخيصَة	Your (m) car is cheap.	P1L1 nouns feminine
قَهْوِة	'ahwe	coffee	feminine	ما بِدَّك قَهْوِة!	You (m) don't want coffee!	P1L1 nouns feminine
شَنْتَة	shanta	bag	feminine	شَنْتِتْكُن جْديدِة	Your (pl) bag is new.	P1L1 nouns feminine
طالْبِة	taalbe	student (f)	feminine of طالب	طالِبْتْنا حِلْوِة	Our student (f) is nice.	P1L1 nouns feminine
صورَة	soura	picture	feminine	صورَة كَلْبُه كْبيرَة	The picture of his dog is big.	P1L1 nouns feminine
فاتورَة	faatoura	bill	feminine	فاتورْتْها غالْيِة	Her bill is expensive.	P1L1 nouns feminine
أُغْنِيِة	ughniye	song	feminine	أُغْنِيِتْهُن حِلْوِة	Their song is beautiful.	P1L1 nouns feminine
كْبير	kbiir	big / old	adjective; f. كبيرة	بيت كْبير	a big house	P1L1 adjectives
صْغير	zghiir	small / young	adjective; f. صغيرة	سَيَّارَة صْغيرَة	a small car	P1L1 adjectives
جْديد	jdiid	new	adjective; f. جديدة	شُغْل جْديد	new work	P1L1 adjectives
قَديم	'adiim	old (of things, time)	adjective; f. قديمة	صورَة قَديمِة	an old picture	P1L1 adjectives
بْعيد	b'iid	far	adjective; f. بعيدة	بيتْها بْعيد	Her house is far.	P1L1 adjectives
قَريب	'ariib	close / near	adjective; f. قريبة	جامْعَتْها قَريبِة	Her university is close.	P1L1 adjectives
طَويل	tawiil	tall / long	adjective; f. طويلة	صَفّ طَويل	a long class	P1L1 adjectives
قَصير	'asiir	short	adjective; f. قصيرة, the ة is pronounced (a)	صَفُّه قَصير	His class is short.	P1L1 adjectives
حِلْو	hilu	beautiful / sweet / nice	adjective; f. حلوة	لُغَتْها حِلْوِة	Her language is beautiful.	P1L1 adjectives
بِشِع	bishe'	ugly	adjective; f. بشعة, the ة is pronounced (a)	بيتْهُن بِشِع	Their house is ugly.	P1L1 adjectives
